2011-12-31,twitter,10	
2012-01-01,twitter,31	
2012-01-02,twitter,28	
2012-01-03,twitter,45	
2012-01-04,twitter,71	
2012-01-05,twitter,159	
2012-01-06,twitter,37	
2012-01-07,twitter,30	
2012-01-08,twitter,43	
2012-01-09,twitter,63	
2012-01-10,twitter,1	
2012-01-11,twitter,1	
2012-01-12,twitter,1	
2012-01-15,twitter,12	
2012-01-16,twitter,7	
2012-01-17,twitter,3	
2012-01-18,twitter,23	
2012-01-19,twitter,395	
2012-01-20,twitter,167	
2012-01-21,twitter,35	
2012-01-22,twitter,140	
2012-01-23,twitter,62	
2012-01-24,twitter,415	
2012-01-25,twitter,75	
2012-01-26,twitter,148	
2012-01-27,twitter,35	
2012-01-28,twitter,195	
2012-01-29,twitter,91	
2012-01-30,twitter,316	
2012-01-31,twitter,174	
2012-02-01,twitter,197	
2012-02-02,twitter,71	
2012-02-03,twitter,82	
2012-02-04,twitter,73	
2012-02-05,twitter,43	
2012-02-06,twitter,61	
2012-02-07,twitter,90	
2012-02-08,twitter,72	
2012-02-09,twitter,105	
2012-02-10,twitter,159	
2012-02-11,twitter,46	
2012-02-12,twitter,61	
2012-02-13,twitter,152	
2012-02-14,twitter,123	
2012-02-15,twitter,5	
2012-02-16,twitter,7	
2012-02-17,twitter,4	
2012-02-18,twitter,4	
2012-02-19,twitter,5	
2012-02-20,twitter,1	
2012-02-21,twitter,9	
2012-02-22,twitter,4	
2012-02-23,twitter,9	
2012-02-24,twitter,11	
2012-02-25,twitter,3	
2012-02-26,twitter,3	
2012-02-27,twitter,22	
2012-02-28,twitter,5	
2012-02-29,twitter,5	
2012-03-01,twitter,4	
2012-03-02,twitter,9	
2012-03-03,twitter,7	
2012-03-04,twitter,22	
2012-03-05,twitter,67	
2012-03-06,twitter,118	
2012-03-07,twitter,20	
2012-03-08,twitter,34	
2012-03-09,twitter,11	
2012-03-10,twitter,27	
2012-03-11,twitter,15	
2012-03-12,twitter,227	
2012-03-13,twitter,20	
2012-03-14,twitter,49	
2012-03-15,twitter,29	
2012-03-16,twitter,20	
2012-03-17,twitter,52	
2012-03-18,twitter,17	
2012-03-19,twitter,23	
2012-03-20,twitter,22	
2012-03-21,twitter,11	
2012-03-22,twitter,27	
2012-03-23,twitter,96	
2012-03-24,twitter,17	
2012-03-25,twitter,67	
2012-03-26,twitter,48	
2012-03-27,twitter,26	
2012-03-28,twitter,24	
2012-03-29,twitter,39	
2012-03-30,twitter,25	
2012-03-31,twitter,5	
2012-04-01,twitter,2	
2012-04-02,twitter,5	
2012-04-03,twitter,10	
2012-04-04,twitter,3	
2012-04-05,twitter,1	
2012-04-06,twitter,7	
2012-04-07,twitter,1	
2012-04-08,twitter,3	
2012-04-09,twitter,8	
2012-04-10,twitter,8	
2012-04-11,twitter,4	
2012-04-13,twitter,8	
2012-04-14,twitter,2	
2012-04-17,twitter,5	
2012-04-18,twitter,35	
2012-04-19,twitter,22	
2012-04-20,twitter,49	
2012-04-21,twitter,33	
2012-04-22,twitter,33	
2012-04-23,twitter,43	
2012-04-24,twitter,27	
2012-04-25,twitter,30	
2012-04-26,twitter,7	
2012-04-27,twitter,15	
2012-04-28,twitter,49	
2012-04-29,twitter,15	
2012-04-30,twitter,41	
2012-05-01,twitter,72	
2012-05-02,twitter,51	
2012-05-03,twitter,76	
2012-05-04,twitter,40	
2012-05-05,twitter,28	
2012-05-06,twitter,21	
2012-05-07,twitter,35	
2012-05-08,twitter,32	
2012-05-09,twitter,37	
2012-05-10,twitter,29	
2012-05-11,twitter,23	
2012-05-12,twitter,34	
2012-05-13,twitter,27	
2012-05-14,twitter,28	
2012-05-15,twitter,7	
2012-05-16,twitter,5	
2012-05-17,twitter,6	
2012-05-18,twitter,2	
2012-05-20,twitter,1	
2012-05-21,twitter,21	
2012-05-22,twitter,4	
2012-05-23,twitter,8	
2012-05-24,twitter,40	
2012-05-25,twitter,35	
2012-05-26,twitter,123	
2012-05-27,twitter,235	
2012-05-28,twitter,26	
2012-05-29,twitter,21	
2012-05-30,twitter,11	
2012-05-31,twitter,16	
2012-06-01,twitter,10	
2012-06-02,twitter,4	
2012-06-07,twitter,10	
2012-06-08,twitter,12	
2012-06-10,twitter,9	
2012-06-11,twitter,118	
2012-06-12,twitter,120	
2012-06-13,twitter,11	
2012-06-14,twitter,24	
2012-06-15,twitter,7	
2012-06-16,twitter,25	
2012-06-17,twitter,40	
2012-06-18,twitter,40	
2012-06-19,twitter,12	
2012-06-20,twitter,7	
2012-06-21,twitter,19	
2012-06-22,twitter,47	
2012-06-23,twitter,62	
2012-06-24,twitter,8	
2012-06-25,twitter,41	
2012-06-26,twitter,28	
2012-06-27,twitter,41	
2012-06-28,twitter,78	
